dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
47,0.85504359,0.82075351,0.81520385,0.0042442139,329308,267411,201893,26928.988,20331.154,16116.362,0.79386938,0.0039511109,329308,72571,74760,147203,19501,23058,42206,26696,34352,60752,0.41156694,0.2428516,175364,161981,27365,39808,44389,63802,26577,40058,41959,53387,46.86877418435057,44.49016363750682,45.72665061772582,337345,0.51983577,0.50730413,0.49843487,0.51407099,0.54443675,0.15990159,0.23674873,0.25596347,0.34738621
48,0.75993186,0.74140048,0.79385608,0.00088026607,76848,65143,45622,26223.799,18365.475,14323.641,0.71114695,0.00082596159,76848,17336,15594,32760,5622,6436,11775,7410,10294,17540,0.4722513,0.28256142,43225,41190,6593,10542,11393,14697,6537,10486,10990,13177,46.49168158386124,44.40978514765558,45.4758279437202,84415,0.51205355,0.50213253,0.50133157,0.50900239,0.52726555,0.15554108,0.24910265,0.2651543,0.33020198
49,0.70832402,0.7880255,0.92404932,0.0088809235,831801,708050,452798,30524.529,19520.438,13350.906,0.80033004,0.010061354,831801,198085,203842,401887,54796,62311,116951,90864,106284,197119,0.43867159,0.27532241,535251,514881,102172,153054,132126,147899,110031,151680,133563,119607,41.29222909126761,38.66736498962412,40.00525541911784,1050132,0.50969881,0.48148236,0.50225443,0.49729571,0.55288106,0.20207269,0.29018638,0.25300533,0.25473559
50,0.77912414,0.77784538,0.89631665,0.0057496983,489589,451805,294021,29608.424,19268.264,14685.389,0.70714504,0.0052324855,489589,132967,139634,272398,32575,37506,69337,46035,55394,101052,0.3848103,0.22821808,310238,294713,50232,73237,81475,105294,52319,77494,79557,85343,45.7304724944869,43.09603020495356,44.4470551423906,604951,0.51283163,0.48982456,0.48587883,0.50595534,0.55232722,0.16951951,0.24916233,0.26619014,0.315128
51,0.94441932,0.94461274,0.97635299,0.0080123451,562844,445070,322902,32252.299,23399.313,17800.969,0.94269979,0.0080191689,562844,106043,112755,218398,31281,35402,65698,54960,65677,120117,0.45969576,0.29716262,302146,283042,53149,85763,75320,87914,52034,88922,72588,69498,42.40546320581743,39.79714804327571,41.14388167952075,585188,0.51632297,0.50530028,0.49095801,0.50923544,0.55849618,0.17974223,0.29851091,0.25275296,0.26899388
52,0.8131541,0.78992242,0.81258702,0.0020144288,164351,142634,103976,26842.545,19567.428,15326.805,0.722552,0.0017947723,164351,41667,43717,84909,10603,12656,22648,12633,14744,26816,0.36810967,0.19956391,93163,89293,14322,20853,23343,34645,15201,23339,23631,27122,47.22105516845412,43.48214818895876,45.39125428137255,182456,0.51060528,0.48511329,0.47187275,0.49693447,0.56089818,0.16180888,0.24220634,0.25745386,0.33853093
53,0.87409759,0.87687266,0.88879722,0.0040403022,306653,231068,170950,29360.031,21721.301,16475.504,0.85823566,0.0039776051,306653,63270,66885,130132,17204,19546,36533,24407,29310,53394,0.4086495,0.24263494,160115,153350,29428,39078,40190,51419,30410,41410,40530,41000,44.01031149501554,40.94752665805475,42.51196886825981,313465,0.51079071,0.49179453,0.48551336,0.49789396,0.55636829,0.19089213,0.2567687,0.25750881,0.29483035
54,0.89977658,0.89134026,0.91974038,0.0099734534,735367,569311,413736,30382.189,22079.682,16959.516,0.72700047,0.0080799134,735367,127373,141223,268222,41367,44877,85352,74844,84941,159226,0.47694618,0.31050313,380939,360649,60700,113891,93651,112697,65391,114388,91369,89501,42.80866028933404,39.79364225467754,41.34239700588901,741588,0.5136801,0.48139834,0.49891141,0.50616688,0.55735964,0.17002837,0.30782455,0.24949163,0.27265543
55,0.83641362,0.82169747,0.84086734,0.0022269324,176636,146432,107304,27776.742,20354.537,15765.214,0.61573416,0.0016437675,176636,41277,41349,82145,12009,13001,24194,13850,17229,30591,0.40009493,0.22340612,95922,93187,16460,21901,24577,32984,16548,24211,24980,27448,45.09575515142267,42.58889456349049,43.86045275145551,189109,0.5072313,0.498667,0.47495228,0.49593398,0.54580355,0.17454484,0.24383821,0.26205522,0.31956172
56,0.97139031,0.94213414,0.9447819,0.01139612,778317,610554,456563,31209.398,23337.914,18309.334,0.75176346,0.0088431221,778317,143499,155356,298854,46999,55438,102302,79163,94150,173223,0.47969198,0.30158311,404209,375905,63926,89330,104927,146026,66611,94540,98862,115892,46.60769864107372,43.23774884022081,44.98385753005731,780114,0.51814091,0.48971555,0.48583239,0.5148806,0.55752563,0.16733067,0.23569632,0.26122978,0.33574325
57,0.93160015,0.91716886,0.93551666,0.014715309,1047932,812172,597092,30903.334,22719.49,17559.346,0.68430281,0.010838004,1047932,198055,219188,416781,59067,67357,125441,110518,111875,221865,0.45453724,0.29036614,534876,516320,86832,143917,141879,162248,92580,150119,139859,133762,43.86823241353122,41.02510413715704,42.47176210942851,1051196,0.50882614,0.48398101,0.48945367,0.50358486,0.54811662,0.17067416,0.27971569,0.26801661,0.28159353
58,0.88151675,0.82792228,0.79068261,0.002595478,195335,162983,127975,26118.969,20508.734,16615.344,0.67046672,0.0019793618,195335,45374,48792,93958,12114,14238,25845,15194,19120,33853,0.3885172,0.22031681,104860,96303,14742,21401,24732,43985,14372,23164,23324,35443,49.37438880910224,45.92289592347242,47.72205166689587,201163,0.52126884,0.50635433,0.4802199,0.51464957,0.55377197,0.14472841,0.22153677,0.23889086,0.394844
59,0.85331672,0.87532383,0.88154316,0.033611894,2613220,1954499,1455312,29120.404,21682.934,16083.813,0.85102177,0.033611238,2613220,428698,484387,913047,132461,152893,284869,270248,298126,568280,0.48304322,0.32175365,1360874,1274018,252987,415853,332134,359900,260928,416832,324568,271690,40.75127596609028,37.71059528885832,39.28105163159579,2634892,0.51648188,0.49227402,0.49941215,0.50576061,0.56983167,0.19504215,0.31602243,0.24923299,0.23970242
60,0.92372262,0.94845432,0.96779215,0.011697937,840158,628105,461596,31969.506,23494.473,17410.865,0.69443649,0.0088178236,840158,161584,162312,323633,43602,54454,96757,75345,90498,165355,0.44748482,0.28229862,433429,415704,83546,120482,114521,114880,88703,118034,115499,93468,41.1186015620674,38.69969325846255,39.93439364030792,849133,0.51043713,0.48503038,0.50513172,0.49787411,0.55138516,0.20285279,0.28089356,0.27088806,0.24536556
61,0.74428684,0.74005371,0.81622624,0.0030530216,272134,242984,165206,26962.762,18332.113,14028.754,0.70763087,0.0029104322,272134,75157,79479,154357,16816,18962,34871,19928,24735,44167,0.33864477,0.18923713,162319,155700,25978,35330,40258,60753,27680,37937,40520,49563,47.09192278033834,43.48487544751274,45.32593617937025,318019,0.51040661,0.48414031,0.48220891,0.49837828,0.55071795,0.16872577,0.2303856,0.2540037,0.34688494
62,0.78956878,0.80351108,0.80795377,0.017351795,1457967,1112454,829627,26689.494,19904.037,14882.255,0.66727549,0.014703501,1457967,287876,314475,601985,85241,96656,180730,112476,132370,244138,0.41375738,0.2377536,765622,722291,143978,207091,190644,223909,145518,219579,186643,170551,42.20348499961693,38.81128461749071,40.55677884744924,1487913,0.514561,0.4973402,0.48536575,0.50530231,0.56763422,0.19456513,0.28675735,0.2535679,0.2651096
63,0.93700206,0.9192816,0.92634368,0.0096053323,680088,520802,387565,30600.32,22771.826,17661.164,0.7948246,0.0081696669,680088,117972,121071,238769,36714,45174,81298,72303,87313,159310,0.50191814,0.33232716,348605,324664,55077,96610,86839,110079,57868,94268,86535,85993,44.131796329911,41.07225471614126,42.6564226695448,673269,0.51777965,0.48764443,0.50613481,0.50087672,0.56142133,0.16775613,0.28350925,0.25751075,0.29122385
64,1.0107638,0.973382,0.96346819,0.010634265,697993,552254,418389,31826.67,24111.965,19051.469,0.9008745,0.0095034931,697993,119363,127440,246437,40986,50355,90663,81450,98842,179881,0.52331519,0.34794509,364377,334629,54647,88948,94860,125922,56051,90397,89848,98333,46.30522029935765,42.94481202663879,44.69652126286486,699006,0.5212788,0.49365842,0.4959603,0.51356739,0.56151259,0.15836488,0.25657147,0.26424381,0.32081985
65,0.88142276,0.83238906,0.80372453,0.0030582016,230184,185997,144451,26549.787,20619.383,16613.572,0.73412126,0.002553941,230184,44965,49476,93837,14963,17287,31560,21324,27708,48544,0.46052396,0.27908313,120978,110110,16548,26409,30694,47327,17388,26578,28526,37618,48.7377089262186,45.11879292970435,47.01334864286177,231088,0.52351487,0.48762375,0.49840528,0.51830465,0.55714875,0.14685315,0.2292936,0.256266,0.36758724
66,0.84300685,0.81576097,0.79970908,0.0062724939,493631,394441,301723,26417.143,20207.482,15889.487,0.65299207,0.0048716739,493631,95595,103753,199158,30456,37446,67603,46007,56872,102738,0.4610053,0.27804676,263058,238645,41023,62386,64387,95262,41957,59884,61355,75449,46.52275666646099,43.7476201486047,45.20270762932818,501703,0.52433014,0.49437213,0.51023144,0.51205641,0.55803084,0.16539666,0.24370992,0.25063035,0.34026307
67,1.0087013,0.99410814,1.0172926,0.017748082,1167299,892925,654332,33604.676,24625.379,19012.594,0.96382707,0.017003924,1167299,196406,210162,406474,58668,67535,125706,135256,148894,283904,0.50192136,0.34788576,595460,562125,95048,174950,159406,166056,98162,174122,152583,137258,42.66196273953874,40.36757316140448,41.54780418782777,1157585,0.51439852,0.49194142,0.50118601,0.51093465,0.54747224,0.16690783,0.30155194,0.26951715,0.26202309
68,1.0662434,1.0576011,1.0994523,0.012440143,774038,601604,433962,36318.691,26198.184,20097.18,0.81945115,0.0095863491,774038,147789,159570,307275,43744,49423,92911,80806,86661,167242,0.45847756,0.29473695,400329,383907,66704,106069,110390,117166,72389,105569,107297,98652,43.43131511941291,40.94034724654893,42.21191164455409,784236,0.51047009,0.47956404,0.50118124,0.50710422,0.54289263,0.17736115,0.26986519,0.27757844,0.27519521
69,1.0683084,1.0964066,1.104386,0.031394307,1949609,1442933,1074218,36481.668,27159.447,20136.102,1.3308209,0.039213449,1949609,254154,281098,535233,90053,105569,195461,267477,303170,570567,0.58868128,0.43847236,1012607,943273,180968,340072,239079,252488,192322,326666,235057,189228,40.29534042644691,37.3886469353459,38.89351359721032,1955880,0.51772451,0.48479199,0.5100534,0.50424141,0.57160711,0.19085526,0.34088901,0.2424157,0.22584003
70,0.84628952,0.83463651,0.84334797,0.0029630272,232279,184550,136962,27858.686,20675.055,15951.36,0.57851404,0.0020309149,232279,51036,53140,103846,13658,14973,27607,19621,23780,42924,0.40447423,0.24615632,122623,117588,21139,28285,32121,41078,22039,28586,31698,35265,45.01522964800203,42.57028514764607,43.81838120232707,240211,0.51048034,0.48957804,0.49735367,0.50331408,0.53807157,0.17975031,0.23675436,0.26567891,0.31781641
71,0.90964216,0.87553227,0.89012569,0.0075027728,547198,441195,325422,29403.914,21688.098,17145.469,0.72550219,0.0059999987,547198,119546,127304,246496,32607,37858,69602,44275,56102,99707,0.40718365,0.23979269,288005,270401,43930,62598,72820,108657,47438,65253,70428,87282,47.49988738096571,43.89918514957101,45.75629287920679,558406,0.51576275,0.48080289,0.48961681,0.50834918,0.55454504,0.16362289,0.22895707,0.2565302,0.35088986
72,0.87771088,0.87185609,0.89309949,0.0074625388,564064,440947,322795,29502.15,21597.033,16543.609,0.86657095,0.0073875492,564064,117015,124519,241465,30793,36247,66611,46225,54174,100176,0.40853932,0.24537785,297310,281316,51681,74209,75813,95607,53746,74835,73972,78763,44.23733129879528,41.44807824127219,42.8812532922905,578626,0.51382065,0.49020648,0.49789995,0.50614548,0.54829961,0.18220232,0.2575826,0.25886324,0.30135182
73,1.0586689,1.0445535,1.0310903,0.0071161841,445944,345195,262237,34060.461,25874.979,19954.41,1.0038702,0.0067659034,445944,80751,77392,158067,27109,31823,58558,50187,60968,111037,0.5175913,0.33887663,231839,220989,39474,59807,61860,70698,39578,61732,62593,57086,44.04945742876581,41.50991454107038,42.81011070333617,452828,0.5119803,0.4993422,0.49208072,0.49705511,0.55326176,0.17457402,0.26839992,0.27483505,0.28219104
74,1.1578687,1.1874111,1.3159926,0.015167581,869061,711346,481309,43471.766,29413.748,21824.189,0.85112798,0.01117926,869061,156463,155959,312376,53937,62436,116214,113849,133747,247547,0.53799897,0.36611959,489006,471194,89750,145761,132376,121119,95567,145798,132452,97377,40.71795420905794,38.46546239607643,39.6126000239208,960200,0.50927514,0.48430526,0.49993655,0.4998565,0.55433053,0.19299833,0.30364403,0.27580503,0.22755259
75,2.091702,2.0137694,1.7072005,0.066538274,2110401,1674172,1480883,56394.707,49883.742,39425.625,3.0745969,0.098066583,2110401,155859,183799,339662,73079,90224,163300,486745,553020,1039770,0.77983087,0.67397964,1124290,993976,141761,419992,276141,286396,145977,373219,258424,216356,41.71266816168426,39.6169486549474,40.72927143002815,2118266,0.53075957,0.4926739,0.52948332,0.5165714,0.56965661,0.13583657,0.37446243,0.25235972,0.2373413
76,0.90553772,0.91710263,0.90931016,0.01710741,1253346,955265,722479,30037.645,22717.85,17068.105,0.90533412,0.017149353,1253346,236684,255510,491981,63854,75181,138187,112584,136215,248301,0.43995634,0.28265199,654928,609781,114030,186134,161945,192819,119538,185374,154347,150522,42.48506846029631,39.46138973285161,41.02719772118233,1264709,0.51784879,0.48820901,0.50102288,0.51201105,0.56159621,0.18468122,0.29374978,0.25009072,0.27147827
77,0.98777747,1.0395293,1.0479757,0.02180567,1464548,1069678,795672,34618.242,25750.521,18618.209,0.89304996,0.019767296,1464548,235257,233713,468832,84461,99700,183771,148938,185943,334582,0.52508193,0.33892533,759310,721290,152859,233878,202189,170384,163517,221769,196908,139096,39.12925610070867,36.94594002220089,38.06563081594218,1480600,0.51283938,0.48315611,0.51328772,0.50661618,0.55054933,0.21368094,0.30774483,0.26955086,0.20902337
78,1.4097211,1.4523582,1.4440242,0.031336941,1474744,1068207,805657,47701.09,35976.844,26571.25,1.2074517,0.026912518,1474744,170918,187216,358081,65387,80257,145338,231247,254030,485209,0.63780004,0.49079028,747371,706849,145436,211392,199943,190600,150630,208321,196451,151447,40.96768585167389,38.44891120577329,39.74339173502376,1454220,0.51393253,0.49122831,0.50365847,0.50440472,0.55723333,0.20359093,0.28861725,0.27258188,0.23520994
79,0.9102807,0.88916475,0.88565487,0.0051618372,376203,287685,216586,29256.229,22025.791,17157.504,0.81914163,0.0046574599,376203,79112,80691,159713,21515,25310,46578,33294,39767,72822,0.42778373,0.26090509,197210,188122,34519,46043,51826,64822,35918,46704,51131,54369,44.91729538500064,42.43515077444679,43.7054938949663,385332,0.51179242,0.49006915,0.49643654,0.50337517,0.54384977,0.18279561,0.24069373,0.26719037,0.30932027
80,0.83817697,0.83415943,0.85083556,0.0071949121,569486,443818,326290,28106.027,20663.236,15798.45,0.7302832,0.0062855352,569486,110489,120194,230215,30544,34879,64256,48680,58380,106240,0.4254837,0.26512873,300440,281458,50210,84266,76922,89042,52915,85412,72203,70928,42.85672935040936,39.81592301162425,41.38592331736965,581898,0.51631039,0.48688486,0.49662301,0.51582229,0.55661684,0.17722178,0.29159406,0.25627345,0.27491072
81,0.86742383,0.84380001,0.85059339,0.00516738,395214,312730,232639,28098.027,20902.047,16349.713,0.65814435,0.0039311661,395214,77051,78676,155548,21965,28299,49811,39804,47808,87374,0.46863523,0.29847676,208026,192638,33846,48632,52058,73490,34218,47394,51207,59819,46.12047242653887,43.60508550962086,44.91108209773631,400664,0.51920313,0.49726728,0.50644618,0.50412047,0.55127561,0.16987801,0.23966715,0.25773466,0.33272019
82,0.81494081,0.82214618,0.82513952,0.0033013944,268760,206072,153970,27257.197,20365.652,15360.481,0.61468631,0.0024968132,268760,52936,52671,105444,15628,19286,34617,23507,29192,52628,0.45277622,0.27312404,139527,133693,25546,35384,35921,42676,27547,34866,35233,36047,43.64426706014397,41.00843804769252,42.35449369986369,273220,0.51067638,0.48115569,0.50368685,0.50483459,0.54210335,0.19432326,0.25711879,0.2604275,0.28813043
83,1.0402527,0.99191898,0.96178204,0.017486474,1115210,884945,684402,31770.971,24571.15,19607.293,0.69122022,0.011650404,1115210,200873,217990,418857,68141,88199,156262,120218,136739,256922,0.49659091,0.30878526,576910,532101,82814,135193,148748,210155,86807,138533,139342,167419,47.20450711921866,43.97087148536166,45.65301613170851,1109011,0.52020222,0.48822963,0.49389902,0.51632476,0.55659288,0.15294799,0.24681991,0.259772,0.34046009
84,0.91007292,0.90229899,0.86270928,0.0077994196,568564,440345,345362,28498.256,22351.145,17153.588,0.89473855,0.0076885317,568564,108129,112652,220749,30048,40139,70007,53329,66308,119513,0.46194082,0.29130399,298808,274943,49661,76924,78453,93770,53877,72371,72660,76035,44.2820564706732,41.36286982128277,42.88317477809952,573751,0.52079737,0.47964033,0.51524836,0.51916778,0.55222166,0.18045807,0.2602087,0.26337731,0.2959559
85,0.94964749,0.92891777,0.9451943,0.010145409,708762,544009,400920,31223.021,23010.527,17899.512,0.78806597,0.0084417192,708762,152477,159013,311479,42536,48618,91063,57294,69407,126606,0.41135749,0.23926388,372664,354381,63633,86032,95144,127855,66598,88832,93427,105524,45.4852358684962,42.58512521423248,44.07164523994603,727045,0.51257348,0.48861638,0.49199378,0.50455266,0.5478428,0.17912371,0.24051331,0.25936633,0.32099664
86,0.84910548,0.83247745,0.86852366,0.0056783939,443667,347907,250063,28690.326,20621.572,16004.438,0.8149187,0.0054643597,443667,81379,83603,164937,24517,29858,54031,44233,53311,97332,0.47854254,0.30772051,234869,217277,38418,64742,56624,75085,38356,63152,55069,60700,43.92985707019541,41.54864492430296,42.7855747819539,452146,0.51945388,0.50040376,0.50621611,0.50696105,0.55296975,0.16979913,0.28285995,0.24702862,0.30031228
87,0.88897127,0.85431212,0.85782444,0.0049380371,368519,296093,221127,28336.893,21162.445,16755.852,0.85445172,0.004758996,368519,68965,77599,146505,22961,24009,46566,35639,45013,80441,0.46435621,0.2941041,197126,177904,29555,48529,47945,71097,29988,46740,45464,55712,46.28246813757147,43.29613047326273,44.86583091777137,375030,0.52562726,0.49636397,0.50938922,0.51328033,0.56066209,0.15876864,0.25403035,0.24907073,0.3381303
88,0.87740129,0.83951086,0.83746719,0.0047007683,355438,292194,219647,27664.424,20795.799,16537.773,0.69000721,0.0037066825,355438,81318,85260,166253,20140,24763,44093,27829,34814,62225,0.39005616,0.22828914,190377,177149,28119,44065,49289,68904,29207,44498,47246,56198,46.95337234167091,43.8055942346484,45.43613032284036,367526,0.51799601,0.4905104,0.4975554,0.51058167,0.55078256,0.15597808,0.2409707,0.2626617,0.34038952
89,0.86356688,0.84540915,0.85483897,0.0042903223,329600,272012,201728,28238.273,20941.908,16277.015,0.67116374,0.0033433633,329600,78307,81445,159498,17892,22768,39959,25844,32225,57571,0.37945282,0.22398727,179559,171024,28458,41333,47035,62733,30913,43708,45354,51049,46.22421047781393,42.47643478597691,44.39594286106163,350583,0.51217258,0.47932494,0.48603615,0.5090974,0.5513438,0.16934934,0.24257024,0.2635296,0.32455081
90,0.92647314,0.93121046,0.96540439,0.0019313813,138302,109479,79189,31890.629,23067.32,17462.709,0.79054135,0.001652422,138302,24941,27648,52579,8045,9123,17093,16064,16477,32450,0.48513544,0.31775719,72295,72865,12389,18533,18946,22427,14790,21031,18727,18317,43.7654504054298,39.74386179908371,41.74676011296533,145160,0.49803665,0.45582986,0.46843091,0.50290662,0.55043685,0.18723477,0.27255443,0.25952742,0.2806834
91,1.0558987,1.1058362,1.1086673,0.02124905,1335090,980790,733603,36623.094,27393.031,19902.197,1.1419718,0.023042725,1335090,192785,196644,389375,69647,81374,150802,167851,195964,363757,0.56924397,0.40241545,698089,665229,142031,218393,179931,157734,144065,213875,181718,125571,39.15481603173007,37.06326136992158,38.13424512416726,1363318,0.51205146,0.49644524,0.5052259,0.49752936,0.55676389,0.20985273,0.31707057,0.26527119,0.20780551
92,1.636204,1.6717585,1.6157794,0.040717069,1650944,1213415,941448,53374.754,41411.68,30840.133,3.1941791,0.079700217,1650944,148324,173732,322050,59733,79026,138757,311553,350368,661918,0.71315324,0.58956379,854328,775028,152124,277640,228644,195920,155573,263592,211783,144080,40.20900854878776,37.42737502306368,38.88588246291786,1629356,0.52433479,0.49439546,0.51297778,0.51914167,0.57623529,0.18884578,0.3321754,0.27030742,0.20867141
93,0.7530809,0.81629461,0.77190375,0.019510489,1718778,1192049,945308,25498.637,20220.701,14194.51,1.1361123,0.0295127,1718778,293918,282510,576429,81628,93139,174771,158648,187104,345749,0.47451612,0.31519151,859610,838516,192396,297005,212186,158023,196663,288083,217187,136583,36.38985103891591,35.22812776530203,35.81620519656668,1698126,0.50621098,0.49451625,0.50762451,0.49417639,0.53638756,0.22911079,0.34454924,0.2528511,0.1734889
94,1.1091292,1.1415496,1.1086526,0.02422813,1449209,1058113,817009,36622.609,28277.699,20905.518,1.2459111,0.027288897,1449209,184303,203774,388079,66930,78377,145309,202026,232580,434609,0.5990907,0.44897762,742024,689225,136223,242971,191046,171784,142116,231011,184759,131339,39.85095151803547,37.27983024978236,38.61281536812427,1431249,0.51844507,0.48941398,0.51261652,0.50836474,0.56671387,0.1944728,0.33116668,0.26257136,0.21178915
95,0.9775669,1.0414189,1.0087998,0.01906441,1293809,909290,703912,33324.129,25797.33,18425.754,0.85683775,0.0167547,1293809,188472,194994,383368,67030,78389,145299,138785,166874,305603,0.54047489,0.36631188,656976,615950,139488,211682,165340,140466,142293,199745,157873,116039,38.20843564518439,36.25417326639744,37.26279660040427,1272926,0.51611483,0.49502274,0.51450682,0.5115512,0.54761505,0.2213648,0.32321361,0.25391343,0.20150818
